Tabela,Row,Alpha,B,t1,t2,w_lim,Iteracoes,Success,Objective
0,0,0.3,100.00413546849835,-0.21323425248001296,0.42182509678404173,4.780690042204672,300,False,-72053803.90445173
0,1,0.4,100.00330620123276,-0.21748595448200625,0.40865807906017126,4.6897208330761675,300,False,-88599454.42492555
0,2,0.5,100.00353807294645,-0.19721012766052237,0.35867566364035586,4.501510387280014,300,False,-114998474.43277979
0,3,0.6000000000000001,2741.8668622530577,2.0462474554132756e-08,0.9999999566542034,2.52500002441433,54,True,-179059879.51879665
