Tabela,Row,Alpha,B,t1,t2,w_lim,Iteracoes,Success,Objective
0,0,0.3,100.0,0.01,0.01,5.441997644968854,5,False,-70121583.50484009
0,1,0.4,100.0,0.01,0.01,5.441997644968854,5,False,-85440061.6246572
0,2,0.5,100.0,0.01,0.01,5.441997644968854,5,False,-110099111.43284282
0,3,0.6000000000000001,100.0,0.01,0.01,5.441997644968854,5,False,-149954750.25671571
