Tabela,Row,Alpha,B,t,Iteracoes,Success,Objective
0,0,0.3,591.006571480435,0.39335661023536095,8,True,-65730957.326918736
0,1,0.31,612.0059654138095,0.39172124550371634,12,True,-66687282.8633004
0,2,0.32,633.0538506212555,0.3900923691818257,9,True,-67692049.23074974
0,3,0.33,654.1397183605368,0.3884612824700122,9,True,-68746552.39940713
0,4,0.34,675.2390537725141,0.38680710912549393,8,True,-69852210.8429157
0,5,0.35000000000000003,696.4030651955338,0.38518438779241115,10,True,-71010567.83387043
0,6,0.36000000000000004,717.5620099342538,0.38352899614810126,9,True,-72223294.44187532
0,7,0.37000000000000005,738.7459063368271,0.38187390862875004,60,True,-73492193.37451653
0,8,0.38000000000000006,759.941563091606,0.3802110484583551,12,True,-74819203.4952212
0,9,0.39000000000000007,781.1446392492521,0.3785407235222359,41,True,-76206405.10020007
0,10,0.4000000000000001,802.3473355442725,0.37686067513177185,200,False,-77656025.94077373
0,11,0.4100000000000001,823.5437236424242,0.3751704458010423,35,True,-79170448.00863169
0,12,0.4200000000000001,844.7312970088935,0.3734720981696273,32,True,-80752215.11100687
0,13,0.4300000000000001,865.9016356799276,0.3717635345910279,32,True,-82404041.2683121
0,14,0.4400000000000001,887.0425659637203,0.3700406778031221,26,True,-84128819.97716126
0,15,0.4500000000000001,908.1999851658295,0.3683356037625394,27,True,-85929634.37779252
0,16,0.46000000000000013,929.218713218214,0.366557561996684,11,True,-87809768.46830481
0,17,0.47000000000000014,950.2717701136418,0.36481476199434587,15,True,-89772719.19239773
0,18,0.48000000000000015,971.2431021530624,0.36304254092754557,10,True,-91822209.8386904
0,19,0.49000000000000016,992.1711821274014,0.36126648489466473,16,True,-93962204.55855966
0,20,0.5000000000000002,1013.0170539664146,0.35946955046912415,10,True,-96196924.17807475
0,21,0.5100000000000002,1033.7979714852283,0.35766451685182404,200,False,-98530863.47076213
0,22,0.5200000000000002,1054.4876495858236,0.3558420159505039,10,True,-100968809.95596924
0,23,0.5300000000000002,1075.0763925651706,0.3540015417184169,11,True,-103515864.39685118
0,24,0.5400000000000003,1095.5855903331374,0.35215637067140987,15,True,-106177463.14526695
0,25,0.5500000000000003,1115.929488581597,0.35027265709959415,16,True,-108959402.49989407
0,26,0.5600000000000003,1136.1660717085877,0.3483799716475687,11,True,-111867865.33314998
0,27,0.5700000000000003,1156.3776790629474,0.34651387440474096,45,True,-114909450.24114566
0,28,0.5800000000000003,1176.4776471044017,0.34464049903620386,12,True,-118091203.00351438
0,29,0.5900000000000003,1196.2044171973778,0.342665024424661,20,True,-121420651.75969093
0,30,0.6000000000000003,1216.048001615192,0.3407755323686963,10,True,-124905845.01936208
1,0,0.3,586.757307080231,0.3912529954529017,19,True,-360932845.1276347
