Tabela,Row,Alpha,B,t,w_lim,Iteracoes,Success,Objective
0,0,0.3,591.006571480435,0.39335661023536095,2.525,8,True,-65730957.326918736
0,1,0.4,802.3061414574721,0.3768297605891197,2.525,41,True,-77656025.91523616
0,2,0.5,1013.0208283373838,0.35947145622083276,2.525,10,True,-96196924.17825323
0,3,0.6000000000000001,1216.0074031153538,0.3407608836414751,2.525,9,True,-124905845.01108405
