Tabela,Row,Alpha,B,t,Iteracoes,Success,Objective
0,0,0.3,590.9980896980445,0.39334629217789935,9,True,-65730957.32859855
0,1,0.31,612.0148901742393,0.3917315374219265,11,True,-66687282.86139009
0,2,0.32,633.066379013521,0.390106082889589,12,True,-67692049.22708946
0,3,0.33,654.1397716085115,0.38846133786186204,8,True,-68746552.39940368
0,4,0.34,675.2667852633829,0.3868345573087918,7,True,-69852210.84451982
0,5,0.35000000000000003,696.3940204752134,0.385175860181923,9,True,-71010567.83431482
0,6,0.36000000000000004,717.5634400448986,0.3835302818677899,10,True,-72223294.44188963
0,7,0.37000000000000005,738.7604650693072,0.3818864025127668,8,True,-73492193.37076724
0,8,0.38000000000000006,759.927226409475,0.38019929396227214,8,True,-74819203.49171557
0,9,0.39000000000000007,781.1376580464647,0.3785352496360992,52,True,-76206405.09961048
0,10,0.4000000000000001,802.3046342488567,0.3768286295608485,113,True,-77656025.91332355
0,11,0.4100000000000001,823.5467151480531,0.37517259657860125,161,True,-79170448.00867045
0,12,0.4200000000000001,844.7422448756369,0.37347964462308075,35,True,-80752215.10995413
0,13,0.4300000000000001,865.8974703566001,0.3717607797606889,35,True,-82404041.26790297
0,14,0.4400000000000001,887.0621521002728,0.3700531162912559,29,True,-84128819.97579193
0,15,0.4500000000000001,908.1632771115161,0.36831320253168476,25,True,-85929634.39214806
0,16,0.46000000000000013,929.2425403751374,0.36657154298892536,23,True,-87809768.4741339
0,17,0.47000000000000014,950.2795910013567,0.3648191777564972,12,True,-89772719.19206871
0,18,0.48000000000000015,971.2559943258425,0.36304954944774026,89,True,-91822209.8394897
0,19,0.49000000000000016,992.1272025646346,0.3612434510904911,11,True,-93962204.54032314
0,20,0.5000000000000002,1013.0195401828304,0.3594708058058469,14,True,-96196924.17822094
0,21,0.5100000000000002,1033.796739334801,0.35766391673328135,11,True,-98530863.4707009
0,22,0.5200000000000002,1054.4945841588383,0.3558452757987966,12,True,-100968809.95537068
0,23,0.5300000000000002,1075.0840047093689,0.35400499732239893,53,True,-103515864.39727259
0,24,0.5400000000000003,1095.6026006519603,0.35216383206288054,11,True,-106177463.14212483
0,25,0.5500000000000003,1115.969768921261,0.35028973747315884,15,True,-108959402.5124711
0,26,0.5600000000000003,1136.2454157909317,0.3484125142211533,11,True,-111867865.37653953
0,27,0.5700000000000003,1156.3993992800124,0.34652249582526584,16,True,-114909450.24364924
0,28,0.5800000000000003,1176.4260843189488,0.3446206815560269,11,True,-118091203.0247985
0,29,0.5900000000000003,1196.3081525659509,0.34270364348695836,58,True,-121420651.81807458
0,30,0.6000000000000003,1216.042925822117,0.3407737008975462,27,True,-124905845.0193601
1,0,0.3,585.6950702382206,0.390822144777776,45,True,-98367833.13078305
1,1,0.31,606.475487298078,0.389199179413358,42,True,-99794429.1714606
1,2,0.32,627.3039839350961,0.3875848329364995,43,True,-101293393.14648594
1,3,0.33,648.1572520785147,0.38595688380525145,79,True,-102866653.861836
1,4,0.34,669.0454595534716,0.3843302878540458,32,True,-104516323.10500987
1,5,0.35000000000000003,689.9479415036685,0.3826884360575683,34,True,-106244698.99157235
1,6,0.36000000000000004,710.875015678269,0.38104550396249864,41,True,-108054270.47141953
1,7,0.37000000000000005,731.8021213916487,0.3793834852848818,33,True,-109947722.96094455
1,8,0.38000000000000006,752.7611057578944,0.37773360671019773,27,True,-111927945.1063725
1,9,0.39000000000000007,773.7180116771343,0.3760704941047008,28,True,-113998036.57272546
1,10,0.4000000000000001,794.6698178866834,0.37439615834989715,17,True,-116161317.04847188
1,11,0.4100000000000001,815.606003968252,0.3727070151176066,13,True,-118421336.31827004
1,12,0.4200000000000001,836.540216354227,0.37101674827686554,12,True,-120781885.54328719
1,13,0.4300000000000001,857.4454724282319,0.3693101813791947,15,True,-123247009.75277272
1,14,0.4400000000000001,878.3292513043003,0.367596374769142,40,True,-125821021.64520845
